lam	eps	coherence	coh_rel
0.0	0.0	2.7283922621247303	0.9999999999996334
0.0	0.0001	2.729040684473231	1.000237657303351
0.0	0.0005	2.745047247882114	1.0061043223100945
0.0	0.001	2.7950973009010545	1.0244484782123495
0.0	0.002	2.997786941512847	1.0987375177413923
0.2	0.0	3.6285652889292423	0.9999999999997243
0.2	0.0001	3.629122829999195	1.0001536533104842
0.2	0.0005	3.644987991117383	1.0045259492056657
0.2	0.001	3.6960090060760744	1.0185868826314313
0.2	0.002	3.8990906023655256	1.0745543463860445
0.5	0.0	3.64385672113603	0.9999999999997256
0.5	0.0001	3.644575459076739	1.0001972464876403
0.5	0.0005	3.6607901163999133	1.0046471078746475
0.5	0.001	3.7113291905160097	1.018516773447098
0.5	0.002	3.914392062595956	1.074244231363331
1.0	0.0	3.669342441480676	0.9999999999997274
1.0	0.0001	3.669984044417019	1.0001748550170977
1.0	0.0005	3.6864245741636217	1.004655366173741
1.0	0.001	3.7348348915202094	1.0178485521814877
1.0	0.002	3.938410258974728	1.073328619986856
