n p chi region_frac cut_size s_bits
64 0.120 3 0.400 126 199.705275
64 0.120 3 0.450 130 206.045125
64 0.120 3 0.500 131 207.630088
64 0.120 4 0.050 20 40.000000
64 0.120 4 0.100 41 82.000000
64 0.120 4 0.150 63 126.000000
64 0.120 4 0.200 75 150.000000
64 0.120 4 0.250 95 190.000000
64 0.120 4 0.300 104 208.000000
64 0.120 4 0.350 113 226.000000
64 0.120 4 0.400 126 252.000000
64 0.120 4 0.450 130 260.000000
64 0.120 4 0.500 131 262.000000
96 0.050 2 0.050 15 15.000000
96 0.050 2 0.100 43 43.000000
96 0.050 2 0.150 61 61.000000
96 0.050 2 0.200 80 80.000000
96 0.050 2 0.250 92 92.000000
96 0.050 2 0.300 100 100.000000
96 0.050 2 0.350 105 105.000000
96 0.050 2 0.400 109 109.000000
96 0.050 2 0.450 113 113.000000
96 0.050 2 0.500 112 112.000000
96 0.050 3 0.050 15 23.774438
96 0.050 3 0.100 43 68.153388
96 0.050 3 0.150 61 96.682713
96 0.050 3 0.200 80 126.797000
96 0.050 3 0.250 92 145.816550
96 0.050 3 0.300 100 158.496250
96 0.050 3 0.350 105 166.421063
96 0.050 3 0.400 109 172.760913
96 0.050 3 0.450 113 179.100763
96 0.050 3 0.500 112 177.515800
96 0.050 4 0.050 15 30.000000
96 0.050 4 0.100 43 86.000000
96 0.050 4 0.150 61 122.000000
96 0.050 4 0.200 80 160.000000
96 0.050 4 0.250 92 184.000000
96 0.050 4 0.300 100 200.000000
96 0.050 4 0.350 105 210.000000
96 0.050 4 0.400 109 218.000000
96 0.050 4 0.450 113 226.000000
96 0.050 4 0.500 112 224.000000
96 0.080 2 0.050 31 31.000000
96 0.080 2 0.100 72 72.000000
96 0.080 2 0.150 96 96.000000
96 0.080 2 0.200 122 122.000000
96 0.080 2 0.250 142 142.000000
96 0.080 2 0.300 156 156.000000
96 0.080 2 0.350 169 169.000000
96 0.080 2 0.400 175 175.000000
96 0.080 2 0.450 180 180.000000
96 0.080 2 0.500 176 176.000000
96 0.080 3 0.050 31 49.133838
96 0.080 3 0.100 72 114.117300
96 0.080 3 0.150 96 152.156400
96 0.080 3 0.200 122 193.365425
96 0.080 3 0.250 142 225.064675
96 0.080 3 0.300 156 247.254150
96 0.080 3 0.350 169 267.858663
96 0.080 3 0.400 175 277.368438
96 0.080 3 0.450 180 285.293250
96 0.080 3 0.500 176 278.953400
96 0.080 4 0.050 31 62.000000
96 0.080 4 0.100 72 144.000000
96 0.080 4 0.150 96 192.000000
96 0.080 4 0.200 122 244.000000
96 0.080 4 0.250 142 284.000000
96 0.080 4 0.300 156 312.000000
96 0.080 4 0.350 169 338.000000
96 0.080 4 0.400 175 350.000000
96 0.080 4 0.450 180 360.000000
96 0.080 4 0.500 176 352.000000
96 0.120 2 0.050 52 52.000000
96 0.120 2 0.100 111 111.000000
96 0.120 2 0.150 147 147.000000
96 0.120 2 0.200 190 190.000000
96 0.120 2 0.250 225 225.000000
96 0.120 2 0.300 243 243.000000
96 0.120 2 0.350 265 265.000000
96 0.120 2 0.400 281 281.000000
96 0.120 2 0.450 288 288.000000
96 0.120 2 0.500 283 283.000000
96 0.120 3 0.050 52 82.418050
96 0.120 3 0.100 111 175.930838
96 0.120 3 0.150 147 232.989488
96 0.120 3 0.200 190 301.142875
96 0.120 3 0.250 225 356.616563
96 0.120 3 0.300 243 385.145888
96 0.120 3 0.350 265 420.015063
96 0.120 3 0.400 281 445.374463
96 0.120 3 0.450 288 456.469200
96 0.120 3 0.500 283 448.544388
96 0.120 4 0.050 52 104.000000
96 0.120 4 0.100 111 222.000000
96 0.120 4 0.150 147 294.000000
96 0.120 4 0.200 190 380.000000
96 0.120 4 0.250 225 450.000000
96 0.120 4 0.300 243 486.000000
96 0.120 4 0.350 265 530.000000
96 0.120 4 0.400 281 562.000000
96 0.120 4 0.450 288 576.000000
96 0.120 4 0.500 283 566.000000
