# alpha_hat_med	0.759867
# alpha_hat_avg	0.733652
p	alpha_p	slope	stderr_alpha
0.05	0.8793414964399344	-0.04396707482199672	0.008696875880487825
0.1	0.7598666663937964	-0.07598666663937964	0.016284899477102203
0.2	0.5617491624244795	-0.1123498324848959	0.024397009397684057
