# size	S_bits
1.000000 5.169925
2.000000 5.169925
3.000000 5.169925
4.000000 5.169925
5.000000 5.169925
6.000000 5.169925
7.000000 5.169925
8.000000 5.169925
9.000000 5.169925
10.000000 5.169925
11.000000 5.169925
12.000000 5.169925
13.000000 5.169925
14.000000 5.169925
15.000000 5.169925
16.000000 5.169925
